family,model,observation_count,mae,rmse,rmsle,wape_percentage
AUTOMOTIVE,shifted_28_day_mean,3456,3.128244874481526,4.247521977727939,0.5565247865909446,43.16370937121473
AUTOMOTIVE,weekly_seasonal_naive,3456,3.7879050925925926,5.218074224377333,0.7005997973689574,52.265740408032904
AUTOMOTIVE,lag_16,3456,4.512152777777778,6.2935979375870525,0.7793018347317837,62.25895316804407
AUTOMOTIVE,lag_364,3456,4.1704282407407405,5.867681612016794,0.8134455425746265,57.54381762286901
AUTOMOTIVE,zero,3456,7.247395833333333,9.20036419870914,2.008620733290856,100.0
BABY CARE,shifted_28_day_mean,3456,0.2615327386388176,0.6571784184832404,0.29975593719089383,137.78310133166974
BABY CARE,zero,3456,0.18981481481481483,0.7232898092384187,0.3260807360558653,100.0
BABY CARE,weekly_seasonal_naive,3456,0.28616898148148145,0.9515156038891031,0.38059494589475995,150.7621951219512
BABY CARE,lag_16,3456,0.2890625,0.9018692009130568,0.38473635133325934,152.28658536585365
BABY CARE,lag_364,3456,0.3550347222222222,0.981748959010662,0.4383245818333974,187.04268292682926
BEAUTY,shifted_28_day_mean,3456,2.717902615623273,4.075721993967788,0.576394051058138,46.34205653754024
BEAUTY,weekly_seasonal_naive,3456,2.8255208333333335,4.10858828372778,0.6705852035862868,48.177019093196506
BEAUTY,lag_16,3456,3.829571759259259,5.97842862266468,0.7814002600297408,65.29675859687207
BEAUTY,lag_364,3456,3.533275462962963,5.2041927986177825,0.8514235149548978,60.244708668409885
BEAUTY,zero,3456,5.864872685185185,8.574547148176181,1.7944970830489326,100.0
BEVERAGES,weekly_seasonal_naive,3456,651.9247685185185,1089.2311524521424,0.2660129127079933,18.493653244535203
BEVERAGES,shifted_28_day_mean,3456,849.9948444543062,1308.0515442305448,0.29179464595805843,24.112460013910404
BEVERAGES,lag_16,3456,1289.3411458333333,2106.7010494210954,0.42882499422045256,36.5757357542031
BEVERAGES,lag_364,3456,1053.0300925925926,1661.5487462337994,1.2144441752028374,29.87211765664801
BEVERAGES,zero,3456,3525.127025462963,4322.102840563806,7.991575428835003,100.0
BOOKS,zero,3456,0.02546296296296296,0.183207027198235,0.11469917187738118,100.0
BOOKS,lag_364,3456,0.02546296296296296,0.183207027198235,0.11469917187738118,100.0
BOOKS,shifted_28_day_mean,3456,0.06178695498103345,0.19183061868342957,0.13064808282024068,242.65422319824043
BOOKS,weekly_seasonal_naive,3456,0.04542824074074074,0.23508765110848273,0.1482628477395075,178.4090909090909
BOOKS,lag_16,3456,0.05324074074074074,0.27110029577698797,0.16589927459603332,209.0909090909091
BREAD/BAKERY,weekly_seasonal_naive,3456,68.44829111408305,102.51460245201906,0.19098592922072394,12.520552946822983
BREAD/BAKERY,shifted_28_day_mean,3456,102.10644566571271,153.23243019397947,0.24295218468459231,18.677298415510432
BREAD/BAKERY,lag_16,3456,150.82661019872737,235.49999444758714,0.356261032308311,27.589184887545827
BREAD/BAKERY,lag_364,3456,134.42796008012914,213.77063504661044,0.9655500356116968,24.589545835577002
BREAD/BAKERY,zero,3456,546.6874458723598,663.9120135286803,6.102297461795221,100.0
CELEBRATION,shifted_28_day_mean,3456,5.8845279473397465,10.525611136580503,0.6147301967012259,44.15791680817754
CELEBRATION,weekly_seasonal_naive,3456,6.9609375,14.503521682808755,0.7252135207140992,52.23537075236131
CELEBRATION,lag_16,3456,8.528356481481481,15.629351245984921,0.8416508525169818,63.99739441971556
CELEBRATION,lag_364,3456,8.05613425925926,14.395737859467937,0.8794162489207255,60.453805232873734
CELEBRATION,zero,3456,13.326099537037036,18.99894155190211,2.488447122685135,100.0
CLEANING,shifted_28_day_mean,3456,352.92197880921543,607.5594326884774,0.37097702039557034,27.671689914320158
CLEANING,weekly_seasonal_naive,3456,377.99855324074076,802.564825357094,0.43222643829823837,29.637878572005476
CLEANING,lag_16,3456,502.2265625,870.8362342123401,0.4959081588297641,39.3782720790753
CLEANING,lag_364,3456,375.31741898148147,678.5322665486773,1.0861212712417005,29.427657842508236
CLEANING,zero,3456,1275.3900462962963,1514.9664290834962,7.011209408417393,100.0
DAIRY,weekly_seasonal_naive,3456,103.48640046296296,162.63547326568042,0.1690280635352664,11.762239307727878
DAIRY,shifted_28_day_mean,3456,179.2657182481554,266.60385020478674,0.24889954032209288,20.375298283383277
DAIRY,lag_16,3456,271.7317708333333,435.0207513542271,0.3767290031819786,30.884967510279036
DAIRY,lag_364,3456,214.72829861111111,328.5656120175436,1.007824849714592,24.40596661113037
DAIRY,zero,3456,879.8188657407408,1090.1876226879651,6.582466835228372,100.0
DELI,weekly_seasonal_naive,3456,51.62401246693399,73.88695636510974,0.2255124216529127,16.576982283134097
DELI,shifted_28_day_mean,3456,67.28140846115572,101.87471324903262,0.25958064299600764,21.604727388427406
DELI,lag_16,3456,101.51825783429322,160.9471283666467,0.37399616876299197,32.5985191990185
DELI,lag_364,3456,82.11676183342934,128.6769292504984,0.8672361409347091,26.368506456816025
DELI,zero,3456,311.41984460861596,373.70558164370965,5.596558469969821,100.0
EGGS,weekly_seasonal_naive,3456,41.5865162037037,68.54380906817241,0.39310291012068205,20.942998114411782
EGGS,shifted_28_day_mean,3456,59.581359587885714,107.212276002895,0.4171336174035721,30.00521359834538
EGGS,lag_16,3456,87.82870370370371,158.50987051576922,0.5811360742719327,44.2305954903258
EGGS,lag_364,3456,75.5245949074074,144.98291625893185,0.8957754582273592,38.03423785223633
EGGS,zero,3456,198.57002314814815,260.7588252208457,5.065927464236894,100.0
FROZEN FOODS,weekly_seasonal_naive,3456,29.264725607026506,47.560776449279004,0.36592024615119584,22.16380450768672
FROZEN FOODS,shifted_28_day_mean,3456,39.27278515889689,58.545841384898196,0.414538320556952,29.743464689283755
FROZEN FOODS,lag_16,3456,58.91253178097583,90.67412549023145,0.60045044088258,44.61773723697319
FROZEN FOODS,lag_364,3456,49.87165040688382,81.91223804496163,0.9350355880547261,37.77057488721072
FROZEN FOODS,zero,3456,132.03836731585088,175.63953846335136,4.6380134332578695,100.0
GROCERY I,weekly_seasonal_naive,3456,671.4334731278597,1029.3440421914052,0.2073890302290138,14.691532307972263
GROCERY I,shifted_28_day_mean,3456,925.1503924263848,1331.242890478281,0.246910621968923,20.243073102608303
GROCERY I,lag_16,3456,1380.8709596704555,2150.255025210306,0.35949741282255354,30.214624574244198
GROCERY I,lag_364,3456,1079.722651446307,1835.9357993238505,1.2227843450970075,23.62524487121032
GROCERY I,zero,3456,4570.207239468892,5310.813521917282,8.297170039502285,100.0
GROCERY II,shifted_28_day_mean,3456,12.144820602817667,21.502041391444983,0.6392644473190896,38.3604774469345
GROCERY II,weekly_seasonal_naive,3456,14.78298611111111,26.300898625684226,0.7846580294513128,46.693353805659136
GROCERY II,lag_16,3456,16.864872685185187,29.088232833086508,0.8476226371083365,53.269174526577466
GROCERY II,lag_364,3456,18.28443287037037,31.672436426120846,1.3132753894635232,57.75297945455875
GROCERY II,zero,3456,31.65972222222222,46.989920855828615,3.1746832228831736,100.0
HARDWARE,shifted_28_day_mean,3456,1.1096850198324926,1.5596688731779158,0.560947523743151,75.91194434958618
HARDWARE,weekly_seasonal_naive,3456,1.3697916666666667,2.0671594394598953,0.7253266053435723,93.70546318289786
HARDWARE,lag_16,3456,1.4600694444444444,2.20518643706654,0.7578517344752731,99.8812351543943
HARDWARE,lag_364,3456,1.4542824074074074,2.216181024495367,0.8007884922265937,99.48535233570863
HARDWARE,zero,3456,1.4618055555555556,2.361315350643616,0.9351950201286963,100.0
HOME AND KITCHEN I,shifted_28_day_mean,3456,13.513661542976344,24.476806645362675,0.5682988880911207,41.9453529117468
HOME AND KITCHEN I,weekly_seasonal_naive,3456,15.61574074074074,31.243610457891137,0.6484334105228798,48.470043020216806
HOME AND KITCHEN I,lag_16,3456,18.75954861111111,34.49167488792149,0.730851213767433,58.22817779294612
HOME AND KITCHEN I,lag_364,3456,21.29369212962963,51.45982622665741,0.9699683062469386,66.09396190151155
HOME AND KITCHEN I,zero,3456,32.21730324074074,44.511452308075434,3.3111978051590207,100.0
HOME AND KITCHEN II,shifted_28_day_mean,3456,12.24351026414445,28.005156883465357,0.5157226005638414,40.688473828185494
HOME AND KITCHEN II,weekly_seasonal_naive,3456,14.454282407407407,40.51168669975689,0.6097873796955342,48.035463584437565
HOME AND KITCHEN II,lag_16,3456,16.44415509259259,38.460180375773554,0.6698319272354423,54.64834509683251
HOME AND KITCHEN II,lag_364,3456,15.737268518518519,33.15862200036309,0.9195425217903803,52.29917110602534
HOME AND KITCHEN II,zero,3456,30.09085648148148,45.548521645318786,3.2157192247387965,100.0
