model,pooled_mae,pooled_rmse,pooled_rmsle,pooled_wape_percentage,mean_fold_rmsle,standard_deviation_fold_rmsle,mean_fold_wape_percentage
shifted_28_day_mean,110.2303819841512,379.5072681607829,0.5007112903873361,23.327960661678194,0.49960615735072383,0.03324881740145039,23.32599882659827
weekly_seasonal_naive,79.97614462993512,308.85428658215994,0.5464285466908713,16.925282505761956,0.5448318509983243,0.041742194197685385,16.95472092996219
lag_16,163.82255759307597,602.7345323506426,0.6535097574950872,34.66962656063606,0.6529737506861352,0.026462880723168627,34.69604829103157
lag_364,138.20381535747373,519.0333687052962,0.9446603293461113,29.247954238392538,0.9444125877796705,0.02163335118768205,29.23895551696964
zero,472.52472508336837,1380.3014888705995,4.409367938238464,100.0,4.409331631672835,0.017893481905491587,100.0
