fold_number,outer_training_start,outer_training_end,inner_training_end,inner_validation_start,inner_validation_end,outer_validation_start,outer_validation_end,inner_training_row_count,inner_validation_row_count,outer_training_row_count,outer_validation_row_count,selected_n_estimators,best_inner_validation_log_rmse,elapsed_seconds,mae,rmse,rmsle,wape_percentage
1,2015-06-14,2017-06-12,2017-05-27,2017-05-28,2017-06-12,2017-06-13,2017-06-28,1268784,28512,1297296,28512,479,0.3987547024379444,58.85,57.22171241897483,230.58017836429624,0.3850654610784343,12.537876051437117
2,2015-06-30,2017-06-28,2017-06-12,2017-06-13,2017-06-28,2017-06-29,2017-07-14,1268784,28512,1297296,28512,1101,0.3834851860900476,135.46,51.76227122333096,201.09346537077408,0.3748636031670031,10.676989626500678
3,2015-07-16,2017-07-14,2017-06-28,2017-06-29,2017-07-14,2017-07-15,2017-07-30,1268784,28512,1297296,28512,965,0.3745488484116789,119.84,59.358314004388745,224.16752676562396,0.3906788003089364,12.321060119864956
4,2015-08-01,2017-07-30,2017-07-14,2017-07-15,2017-07-30,2017-07-31,2017-08-15,1268784,28512,1297296,28512,682,0.3924974933250044,87.42,73.1978417202149,260.2679593794587,0.3998904431324385,15.669259651451217
